,word,orig_funny,count,mean,std,funny,stem,lem,stem_bastard,length
0,yевмененько,1,17.0,0.7058823529411765,0.4696682183138621,1,уевмененько_ADV,уевмененький,1.0,11
1,абажур,1,18.0,0.2777777777777778,0.4608885989624768,0,абажур_NOUN,абажур,0.0,6
2,аборигенный,0,28.0,0.0714285714285714,0.2622652641564809,0,аборигенный_ADJ,аборигенный,0.0,11
3,абсолютно,0,23.0,0.0434782608695652,0.2085144140570747,0,абсолютно_ADV,абсолютно,0.0,9
4,аварец,0,18.0,0.1666666666666666,0.3834824944236851,0,аварец_NOUN,аварец,0.0,6
5,авария,0,28.0,0.0357142857142857,0.1889822365046136,0,авария_NOUN,авария,0.0,6
6,август,0,15.0,0.0,0.0,0,август_NOUN,август,0.0,6
7,авиа,0,14.0,0.0,0.0,0,авиа_ADJ,авиа,0.0,4
8,авиакомпания,0,16.0,0.0,0.0,0,авиакомпания_NOUN,авиакомпания,0.0,12
9,авиационный,0,17.0,0.0,0.0,0,авиационный_ADJ,авиационный,0.0,11
10,автомобильный,0,23.0,0.0434782608695652,0.2085144140570748,0,автомобильный_ADJ,автомобильный,0.0,13
11,агентство,0,27.0,0.0,0.0,0,агентство_NOUN,агентство,0.0,9
12,администрация,0,20.0,0.05,0.2236067977499789,0,администрация_NOUN,администрация,0.0,13
13,адресно,0,22.0,0.1363636363636363,0.3512500866571044,0,адресный_ADJ,адресный,0.0,7
14,азовский,0,10.0,0.0,0.0,0,азовский_ADJ,азовский,0.0,8
15,айран,1,14.0,0.0,0.0,0,айран_NOUN,айран,0.0,5
16,акватория,0,21.0,0.0,0.0,0,акватория_NOUN,акватория,0.0,9
17,аккредитация,0,17.0,0.0,0.0,0,аккредитация_NOUN,аккредитация,0.0,12
18,аккуратно,0,13.0,0.0769230769230769,0.2773500981126146,0,аккуратно_ADV,аккуратно,0.0,9
19,аксолотль,1,15.0,0.4,0.50709255283711,0,аксолотль_NOUN,аксолотль,0.0,9
20,активировать,0,17.0,0.0,0.0,0,активировать_VERB,активировать,0.0,12
21,активный,0,15.0,0.0666666666666666,0.2581988897471611,0,активный_ADJ,активный,0.0,8
22,актуализировать,0,14.0,0.1428571428571428,0.3631365196012815,0,актуализировать_VERB,актуализировать,0.0,15
23,акция,0,15.0,0.0,0.0,0,акция_NOUN,акция,0.0,5
24,александр,1,14.0,0.0,0.0,0,александр_PROPN,александр,0.0,9
25,американский,0,18.0,0.0,0.0,0,американский_ADJ,американский,0.0,12
26,ампутация,0,16.0,0.0,0.0,0,ампутация_NOUN,ампутация,0.0,9
27,анализ,0,17.0,0.0,0.0,0,анализ_NOUN,анализ,0.0,6
28,аналогичный,0,15.0,0.0,0.0,0,аналогичный_ADJ,аналогичный,0.0,11
29,ананас,0,16.0,0.1875,0.4031128874149275,0,ананас_NOUN,ананас,0.0,6
30,анекдот,0,10.0,0.0,0.0,0,анекдот_NOUN,анекдот,0.0,7
31,анонимус,1,14.0,0.4285714285714285,0.5135525910130955,0,анонимус_NOUN,анонимус,1.0,8
32,антимонопольный,0,12.0,0.0,0.0,0,антимонопольный_ADJ,антимонопольный,0.0,15
33,антрекот,1,18.0,0.2777777777777778,0.4608885989624768,0,антрекот_NOUN,антрекот,0.0,8
34,антресоль,0,15.0,0.0,0.0,0,антресоль_NOUN,антресоль,0.0,9
35,апоп,1,17.0,0.5294117647058824,0.5144957554275265,1,апоп_PROPN,апоп,1.0,4
36,аптека,0,18.0,0.0,0.0,0,аптека_NOUN,аптека,0.0,6
37,араб,0,17.0,0.1176470588235294,0.3321055820775357,0,араб_NOUN,араб,0.0,4
38,аренда,0,16.0,0.0625,0.25,0,аренда_NOUN,аренда,0.0,6
