,orig_funny,group,item,count,mean,std,male_count,male_mean,male_std,female_count,female_mean,female_std,youngly_count,youngly_mean,youngly_std,elderly_count,elderly_mean,elderly_std
yевмененько,funny,8.0,400,17.0,0.7058823529411765,0.4696682183138621,1.0,1.0,,16.0,0.6875,0.47871355387816905,16.0,0.75,0.4472135954999579,1.0,0.0,
абажур,funny,4.0,217,18.0,0.2777777777777778,0.4608885989624768,6.0,0.16666666666666666,0.408248290463863,12.0,0.3333333333333333,0.492365963917331,18.0,0.2777777777777778,0.4608885989624768,,,
аборигенный,unfunny,33.0,1516,28.0,0.07142857142857142,0.26226526415648094,7.0,0.0,0.0,21.0,0.09523809523809523,0.30079260375911915,28.0,0.07142857142857142,0.26226526415648094,,,
абсолютно,unfunny,44.0,1995,23.0,0.043478260869565216,0.20851441405707477,10.0,0.1,0.31622776601683794,13.0,0.0,0.0,23.0,0.043478260869565216,0.20851441405707477,,,
аварец,unfunny,33.0,1518,18.0,0.16666666666666666,0.38348249442368515,1.0,1.0,,17.0,0.11764705882352941,0.3321055820775357,18.0,0.16666666666666666,0.38348249442368515,,,
авария,unfunny,21.0,964,28.0,0.03571428571428571,0.18898223650461363,7.0,0.0,0.0,21.0,0.047619047619047616,0.21821789023599236,28.0,0.03571428571428571,0.18898223650461363,,,
август,unfunny,28.0,1295,15.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,15.0,0.0,0.0,,,
авиа,unfunny,21.0,976,14.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,14.0,0.0,0.0,,,
авиакомпания,unfunny,32.0,1462,16.0,0.0,0.0,,,,16.0,0.0,0.0,16.0,0.0,0.0,,,
авиационный,unfunny,21.0,958,17.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,0.0,17.0,0.0,0.0,,,
автомобильный,unfunny,34.0,1535,23.0,0.043478260869565216,0.2085144140570748,10.0,0.0,0.0,13.0,0.07692307692307693,0.27735009811261463,23.0,0.043478260869565216,0.2085144140570748,,,
агентство,unfunny,20.0,909,27.0,0.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,
администрация,unfunny,24.0,1117,20.0,0.05,0.2236067977499789,7.0,0.0,0.0,13.0,0.07692307692307693,0.2773500981126146,20.0,0.05,0.2236067977499789,,,
адресно,unfunny,42.0,1895,22.0,0.13636363636363635,0.35125008665710444,5.0,0.0,0.0,17.0,0.17647058823529413,0.3929526239966879,22.0,0.13636363636363635,0.35125008665710444,,,
азовский,unfunny,20.0,947,10.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,10.0,0.0,0.0,,,
айран,funny,12.0,557,14.0,0.0,0.0,1.0,0.0,,13.0,0.0,0.0,14.0,0.0,0.0,,,
акватория,unfunny,20.0,945,21.0,0.0,0.0,5.0,0.0,0.0,16.0,0.0,0.0,21.0,0.0,0.0,,,
аккредитация,unfunny,32.0,1483,17.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,17.0,0.0,0.0,,,
аккуратно,unfunny,48.0,2199,13.0,0.07692307692307693,0.2773500981126146,2.0,0.0,0.0,11.0,0.09090909090909091,0.30151134457776363,13.0,0.07692307692307693,0.2773500981126146,,,
аксолотль,funny,9.0,429,15.0,0.4,0.50709255283711,1.0,0.0,,14.0,0.42857142857142855,0.5135525910130955,15.0,0.4,0.50709255283711,,,
активировать,unfunny,24.0,1115,17.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,17.0,0.0,0.0,,,
активный,unfunny,24.0,1111,15.0,0.06666666666666667,0.25819888974716115,3.0,0.0,0.0,12.0,0.08333333333333333,0.28867513459481287,15.0,0.06666666666666667,0.25819888974716115,,,
актуализировать,unfunny,31.0,1401,14.0,0.14285714285714285,0.3631365196012815,2.0,0.0,0.0,12.0,0.16666666666666666,0.38924947208076144,14.0,0.14285714285714285,0.3631365196012815,,,
акция,unfunny,41.0,1855,15.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,15.0,0.0,0.0,,,
александр,funny,5.0,240,14.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,14.0,0.0,0.0,,,
американский,unfunny,40.0,1825,18.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,18.0,0.0,0.0,,,
ампутация,unfunny,39.0,1787,16.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,16.0,0.0,0.0,,,
анализ,unfunny,23.0,1045,17.0,0.0,0.0,1.0,0.0,,16.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,
аналогичный,unfunny,20.0,934,15.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,15.0,0.0,0.0,,,
