,word,stem_bastard,stem,detagged,length,ngramm к,ngramm у,ngramm п,ngramm а ,ngramm ч,ngramm х,ngramm  ж,ngramm уля,ngramm ля ,ngramm м,ngramm ба,ngramm ж,ngramm ы,ngramm ю,ngramm ьк,ngramm кат,ngramm пс,ngramm  пи,ngramm ыр,ngramm я,ngramm в,ngramm пе,ngramm еб,ngramm шу,ngramm лд,ngramm ьки,ngramm ыш ,ngramm ля,ngramm  х,ngramm  е,ngramm ба ,ngramm ел,ngramm ан ,ngramm ик ,ngramm  пе,ngramm мя,ngramm мы,ngramm тя,ngramm си,ngramm ки ,ngramm  че,ngramm сос,ngramm др,ngramm бал,ngramm пи,ngramm ели,ipa,not in wiki,бранн.,вульг.,высок.,гипокор.,груб.,детск.,диал.,дисфм.,жарг.,ирон.,истор.,канц.,книжн.,ласк.,мол.,нар.-поэт.,нар.-разг.,научн.,неодобр.,неол.,обсц.,офиц.,поэт.,презр.,пренебр.,прост.,проф.,публиц.,разг.,рег.,обл.,ритор.,сленг,сниж.,советск.,спец.,старин.,табу,торж.,трад.-нар.,трад.-поэт.,увелич.,уменьш.,умласк.,унич.,усилит.,устар.,фам.,школьн.,шутл.,эвф.,экзот.,экспр.,эррат.,sounds,sign ͡,sign x,sign u,sign ʐ,sign ʲ,sign p,sign f,sign k,sign b,sign ɕ,target,freq
1723,скользкий,0,скользкий_ADJ,скользкий,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ˈskolʲskʲɪɪ̯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s k o lʲ s kʲ ɪ ɪ̯,0,0,0,0,2,0,0,2,0,0,0,0.075
2096,хиромантия,0,хиромантия_NOUN,хиромантия,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xʲɪrɐˈmanʲtʲɪɪ̯ə,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xʲ ɪ r ɐ m a nʲ tʲ ɪ ɪ̯ ə,0,1,0,0,3,0,0,0,0,0,0,0.131
1772,совковый,0,совковый_ADJ,совковый,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sɐˈfkovɨɪ̯,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s ɐ f k o v ɨ ɪ̯,0,0,0,0,0,0,1,1,0,0,0,1.489
65,бассейн,0,бассейн_NOUN,бассейн,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bɐˈsʲːeɪ̯n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b ɐ sʲː e ɪ̯ n,0,0,0,0,1,0,0,0,1,0,0,1.212
508,заняться,0,заниматься_VERB,заниматься,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zənʲɪˈmat͡sːə,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,z ə nʲ ɪ m a t͡sː ə,1,0,0,0,1,0,0,0,0,0,0,4.156
1854,стража,0,стража_NOUN,стража,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ˈstraʐə,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,s t r a ʐ ə,0,0,0,1,0,0,0,0,0,0,0,20.475
808,лизать,0,лизать_VERB,лизать,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lʲɪˈzatʲ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,lʲ ɪ z a tʲ,0,0,0,0,2,0,0,0,0,0,0,7.168
1475,примирить,0,примирять_VERB,примирять,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prʲɪmʲɪˈrʲætʲ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p rʲ ɪ mʲ ɪ rʲ æ tʲ,0,0,0,0,4,1,0,0,0,0,0,0.491
2182,шаболда,1,шаболда_NOUN,шаболда,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ʂəbɐɫˈda,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ʂ ə b ɐ ɫ d a,0,0,0,0,0,0,0,0,1,0,0,9.568
1091,обратный,0,обратный_ADJ,обратный,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ɐˈbratnɨɪ̯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ɐ b r a t n ɨ ɪ̯,0,0,0,0,0,0,0,0,1,0,0,8.393
